datetime,open,high,low,close,volume
2026-06-05 00:00:00+00:00,30262.25,30264.0,30229.25,30242.75,1213
2026-06-05 00:03:00+00:00,30244.0,30253.0,30234.25,30234.75,925
2026-06-05 00:06:00+00:00,30235.0,30237.75,30218.75,30225.0,927
2026-06-05 00:09:00+00:00,30224.25,30233.75,30212.75,30217.0,706
2026-06-05 00:12:00+00:00,30217.5,30218.25,30198.75,30199.75,749
2026-06-05 00:15:00+00:00,30199.5,30220.5,30191.0,30200.5,1066
2026-06-05 00:18:00+00:00,30198.75,30216.25,30194.25,30207.75,618
2026-06-05 00:21:00+00:00,30207.5,30207.5,30179.25,30195.25,852
2026-06-05 00:24:00+00:00,30196.5,30196.75,30169.0,30177.25,1046
2026-06-05 00:27:00+00:00,30177.75,30198.0,30174.0,30193.5,665
2026-06-05 00:30:00+00:00,30194.0,30214.75,30181.25,30181.25,993
2026-06-05 00:33:00+00:00,30180.75,30207.75,30177.25,30200.75,652
2026-06-05 00:36:00+00:00,30199.75,30206.25,30161.5,30167.25,1024
2026-06-05 00:39:00+00:00,30167.25,30188.5,30160.75,30181.25,643
2026-06-05 00:42:00+00:00,30179.25,30184.0,30166.25,30167.25,440
2026-06-05 00:45:00+00:00,30166.0,30184.75,30146.5,30167.75,1750
2026-06-05 00:48:00+00:00,30168.5,30173.5,30153.0,30158.0,639
2026-06-05 00:51:00+00:00,30157.0,30158.5,30130.75,30151.0,1049
2026-06-05 00:54:00+00:00,30151.5,30157.75,30135.75,30141.25,480
2026-06-05 00:57:00+00:00,30140.75,30158.75,30140.25,30142.75,717
2026-06-05 01:00:00+00:00,30143.5,30152.5,30120.75,30132.25,999
2026-06-05 01:03:00+00:00,30135.25,30145.5,30126.25,30134.75,491
2026-06-05 01:06:00+00:00,30134.5,30153.75,30124.0,30130.75,775
2026-06-05 01:09:00+00:00,30129.25,30133.75,30118.75,30122.0,800
2026-06-05 01:12:00+00:00,30123.0,30125.25,30111.0,30123.75,671
2026-06-05 01:15:00+00:00,30124.0,30124.5,30107.75,30117.0,780
2026-06-05 01:18:00+00:00,30116.25,30130.25,30107.0,30114.25,921
2026-06-05 01:21:00+00:00,30114.75,30121.0,30090.25,30094.0,1129
2026-06-05 01:24:00+00:00,30093.0,30097.25,30052.25,30075.25,2073
2026-06-05 01:27:00+00:00,30074.25,30088.75,30070.0,30085.25,1197
2026-06-05 01:30:00+00:00,30085.0,30120.5,30084.5,30118.5,1301
2026-06-05 01:33:00+00:00,30118.5,30126.0,30110.0,30122.5,717
2026-06-05 01:36:00+00:00,30123.0,30139.25,30121.0,30128.75,849
2026-06-05 01:39:00+00:00,30128.0,30150.25,30116.5,30136.25,1300
2026-06-05 01:42:00+00:00,30136.75,30152.5,30134.0,30146.75,581
2026-06-05 01:45:00+00:00,30147.0,30156.5,30143.25,30152.0,606
2026-06-05 01:48:00+00:00,30151.75,30153.0,30133.25,30138.25,437
2026-06-05 01:51:00+00:00,30138.25,30170.0,30129.5,30169.0,886
2026-06-05 01:54:00+00:00,30169.75,30202.0,30165.25,30186.0,1463
2026-06-05 01:57:00+00:00,30186.5,30196.5,30184.25,30195.5,549
2026-06-05 02:00:00+00:00,30196.5,30197.25,30170.75,30188.75,1007
2026-06-05 02:03:00+00:00,30188.25,30208.75,30188.25,30196.5,833
2026-06-05 02:06:00+00:00,30194.75,30199.75,30186.75,30192.25,435
2026-06-05 02:09:00+00:00,30192.25,30212.25,30191.75,30208.75,396
